source;stage;publication;doi;id;plot_id;confirmed_with_table?;notes;primary_outcome;figure_panel;measure;center;group;subgroup;group_es;mean;sem;sd;sample_size;additional_notes;mean_difference;pooled_sd;J;hedges_g;se_g;EU;score_incl_excl_criteria;notes_incl_excl_criteria;score_controls_usage;notes_controls_usage;score_randomization;notes_randomization;score_blinding;notes_blinding;iv_score
Hunningford Paper;Exploratory;Crabbe, 1996;https://doi.org/10.1038/ng0996-98;4;;;;Ethanol consumption;Fig1;g/kg/day at 20% EtOH;Portland;5-HT1B KO;;;5,276276076;0,48;2,465282778;26;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Alessandri, 2002;https://doi.org/10.1089/08977150260190429;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Ablamunits, 2012;https://doi.org/10.2337/db11-1033;6;2;x;;;Fig 1b;final % normoglycemic mice ;;placebo;;ctrl;0;;;12;these are not means but % of the disease free, g was calculated separately in the plot_extracted sheet;;;;3,473340033;1,08664867;35;1;implicit disease criterion;1;placebo;1;randomization mentioned;0;na;3
Hunningford Paper;Exploratory;Ablamunits, 2012;https://doi.org/10.2337/db11-1033;6;2;x;;;Fig 1b;final % normoglycemic mice ;;simultaneous CD3+IL1b;;treated;100;;;23;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Simard, 2012;https://doi.org/10.1007/s12975-012-0149-x;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Murry, 1986;https://doi.org/10.1161/01.CIR.74.5.1124;9;3;x;;infarct size % RR;Fig 3 left;% region at risk (RR);;control heart;specie: dog;ctrl;29,62765978;4,414892878;9,87200059;5;;22,23;7,49279196;0,923076923;2,73913004;0,809614229;12;0;na;1;negative;1;randomization mentioned;0;na;2
Hunningford Paper;Exploratory;Murry, 1986;https://doi.org/10.1161/01.CIR.74.5.1124;9;3;x;;infarct size % RR;Fig 3 left;% region at risk (RR);;preconditioned heart;specie: dog;treated;7,393617276;2,021278067;5,347799095;7;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Raehal, 2005;https://doi.org/10.1124/jpet.105.087254;10;;;;atory suppression;Fig 5 a b;breathing frequency (breaths/min);;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Liesz, 2011;https://doi.org/10.1093/brain/awr008;11;4;x;;infarct module fMCAO;Fig 1b;mm3;;IgG control;;ctrl;14,80800035;;1,679999915;10;;2,98;2,270252955;0,957746479;1,255478479;0,489290972;20;0;na;1;IgG neg only;0;na;1;observer blinded ;2
;Exploratory;Liesz, 2011;https://doi.org/10.1093/brain/awr008;11;4;x;;infarct module fMCAO;Fig 1b;mm3;;anti CD49d;;treated;11,83200013;;2,736000227;10;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Liesz, 2011;https://doi.org/10.1093/brain/awr008;12;5;x;;infarct module fMCAO;Fig 1b;mm3;;IgG control;;ctrl;14,80800035;;1,679999915;10;;2,98;2,270252955;0,957746479;1,255478479;0,489290972;20;;;;;;;;;
;Exploratory;Liesz, 2011;https://doi.org/10.1093/brain/awr008;12;5;x;;infarct module fMCAO;Fig 1b;mm3;;anti CD49d;;treated;11,83200013;;2,736000227;10;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Pradillo, 2012;https://doi.org/10.1038/jcbfm.2012.101;13;6;x;raw data extracted;MRI infarct lesion tMCAO day1;Fig 1A lean rats;mm3;;placebo;;ctrl;13,38399132;;3,368771806;6;;6,87;2,834890711;0,914285714;2,216737643;0,768132104;11;1;exclusion criteria mentioned;1;placebo;2;randomization and allocation concealment;1;blinded assessment;5
;Exploratory;Pradillo, 2012;https://doi.org/10.1038/jcbfm.2012.101;13;6;x;raw data extracted;MRI infarct lesion tMCAO day1;Fig 1A lean rats;mm3;;IL-1a;;treated;6,510637774;;1,973976361;5;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Mahmood, 2012;https://doi.org/10.1227/01.neu.0000343540.24780.d6;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Exploratory;Sakakibara, 2000;https://doi.org/10.1016/S0304-3940(00)00854-5;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;RuG;wt;;ctrl;126,9736915;11,84;39,27563282;11;;-92,76;68,28710526;0,963855422;-1,309328513;0,459902936;23;1;3m old rats;1;veh control;2;block (latin-square);1;blinded scoring;5
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;RuG;ko;;treated;219,7368301;25,00;86,6025143;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;Pfizer;wt;;ctrl;139,4736752;17,11;59,25441595;12;;-53,95;63,97499553;0,965517241;-0,814179251;0,424825647;24;;;;;;;;;
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;Pfizer;ko;;treated;193,4210433;19,74;68,37041975;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;Roche;wt;;ctrl;83,55262821;8,55;29,62725144;12;;-84,21;43,98555145;0,965517241;-1,848487142;0,487700914;24;;;;;;;;;
Hunningford Paper;Multi_lab;Arroyo-Araujo, 2019;https://doi.org/10.1038/s41598-019-47981-0;1;1;x;Raw data per center;open-field test- rearing;Fig1b Veh only;;Roche;ko;;treated;167,7631662;15,79;54,69628364;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);"Miami (FPI): Fig. 2A; pooled: 2H–I";Latency to hidden platform (s), across days;Miami (FPI);Sham;;;;;;9;different experiments;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + Vehicle;;;;;;10;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 5000 IU/kg;;;;;;10;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 10 000 IU/kg;;;;;;10;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);"Pittsburgh (CCI): Fig. 2E; pooled: 2H–I";Latency to hidden platform (s), across days;Pittsburgh (CCI);Sham;;;;;;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + Vehicle;;;;;;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 5000 IU/kg;;;;;;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 10 000 IU/kg;;;;;;12;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);"WRAIR (PBBI): Fig. 2F; pooled: 2H–I";Latency to hidden platform (s), across days;WRAIR (PBBI);Sham;;;;;;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + Vehicle;;;;;;15;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 5000 IU/kg;;;;;;14;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Bramlett, 2016/Kochanek, 2016;https://www.liebertpub.com/doi/10.1089/neu.2015.4116#sec-3;2;;;OBTT: IV EPO 15 min post-injury;Spatial learning (MWM);;;;TBI + EPO 10 000 IU/kg;;;;;;15;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Browning, 2016;https://doi.org/10.1089/neu.2015.4131;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Portland;Portland;;;4,06749561;0,36;1,42095907;16;;-0,30;1,647944384;0,974789916;-0,1786114;0,354257631;32;0;unclear;1;no intervention, WT used for reference;0;na;0;na;1
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Portland;Portland;;;4,369449548;0,46;1,847245707;16;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Edmonton;Edmonton;;;4,387211265;0,98;3,907637444;16;;1,01;3,248452929;0,974789916;0,303809014;0,355587101;32;;;;;;;;;
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Edmonton;Edmonton;;;3,37477847;0,60;2,415628794;16;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Albany;Albany;;;4,79573754;0,67;2,699821692;16;;0,07;2,958957237;0,974789916;0,023405912;0,353565496;32;;;;;;;;;
Hunningford Paper;Multi_lab;Crabbe, 1999;https://doi.org/10.1126/science.284.5420.1670;4;;;Raw data per center;Ethanol consumption;Fig3;g/kg/day at 6% EtOH;Albany;Albany;;;4,724689316;0,80;3,197157908;16;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Dixon, 2016;https://doi.org/10.1089/neu.2015.4122;5;;;Single center data shown*;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 1;placebo;;ctrl;;;;5;these are not means but % of the disease free, g was calculated separately in the plot_extracted sheet;;;;0,647009776;0,872622259;10;1;implicit disease criterion;1;placebo;0;na;1;analysis;3
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 1;simultaneous CD3+IL1b;;treated;;;;5;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 2;placebo;;ctrl;;;;5;these are not means but % of the disease free, g was calculated separately in the plot_extracted sheet;;;;1,741171556;0,872622259;10;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 2;simultaneous CD3+IL1b;;treated;;;;5;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 3;placebo;;ctrl;;;;5;these are not means but % of the disease free, g was calculated separately in the plot_extracted sheet;;;;1,361645256;0,843259542;10;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 3;simultaneous CD3+IL1b;;treated;;;;5;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 4;placebo;;ctrl;;;;5;these are not means but % of the disease free, g was calculated separately in the plot_extracted sheet;;;;1,741171556;0,872622259;5;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 1);https://doi.org/10.2337/db15-0492;6;2;x;Single center data shown;Remission of hyperglycemia;Fig 2A;final % normoglycemic mice ;site 4;simultaneous CD3+IL1b;;treated;;;;5;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Gill, 2016 (study 2);https://doi.org/10.2337/db15-0492;7;;;Single center data shown;;Fig 4;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jha, 2020;https://doi.org/10.1089/neu.2020.7421;8;;;Single center data shown*;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;Control;Mouse;;58,16;;8,79;19;;43,36;10,42564408;0,977099237;4,063731944;0,592490239;35;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;IPC;Mouse;;14,8;;12,1;16;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;Emory;Control;Mouse;;44,33;;5,89;6;;28,31;9,180332238;0,923076923;2,84655359;0,819117089;12;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;Emory;IPC;Mouse;;16,02;;11,57;6;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;Control;Rabbit;;47,22;;11;6;;22,77;10,22318933;0,914285714;2,036378771;0,745090146;11;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;IPC;Rabbit;;24,45;;9,16;5;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;VCU;Control;Rabbit;;43,86;;4,04;6;;21,24;5,807068968;0,923076923;3,376256413;0,899052913;12;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;VCU;IPC;Rabbit;;22,62;;7,15;6;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;Control;Pig;ctrl;62,83;;15;6;;21,30;21,1515295;0,923076923;0,929556346;0,60773058;12;2;implicit inclusion and explicit exclusion criteria;1;neg controls;2;block randomization;1,5;analysis blinded, group allocation could not be blinded;6,5
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;UofL;IPC;Pig;treated;41,53;;25,88;6;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;Emory;Control;Pig;ctrl;53,27;;13,4;7;;19,52;13,10343466;0,936170213;1,394599433;0,59596583;14;;;;;;;;;
Hunningford Paper;Multi_lab;Jones, 2015;https://doi.org/10.1161/circresaha.116.305462;9;3;x;Single center data in the supplementary files;infarct size;Online Tables I, II, III;Inf/RR;Emory;IPC;Pig;treated;33,75;;12,8;7;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Kliewer, 2020;https://doi.org/10.1111/bph.15004;10;;;Single center data shown;;Fig1 a,b;% respiratory rate (% baseline);;;;;;;;;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;1;IgG control;;ctrl;34,5825603;;25,22788492;11;;-4,71;22,45995143;0,957746479;-0,201037299;0,450589172;20;2;both mentioned;1;IgG neg only;1;simple randomizazion;2;all steps were blinded;6
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;1;anti CD49d;;treated;39,29705215;;18,42426304;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;2;IgG control;;ctrl;26,29251701;;21,97625339;6;;0,19;16,35297331;0,941176471;0,011093144;0,527050168;15;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;2;anti CD49d;;treated;26,09977324;;11,51997181;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;3;IgG control;;ctrl;30,96938776;;14,88108048;12;;-3,50;16,4167178;0,96;-0,204536812;0,442086556;21;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;3;anti CD49d;;treated;34,46712018;;18,31922393;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;4;IgG control;;ctrl;49,70068027;;14,95175134;15;;1,41;13,85638356;0,972972973;0,099356636;0,365373593;30;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;4;anti CD49d;;treated;48,28571429;;12,6666437;15;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;5;IgG control;;ctrl;34,85714286;;12,71004286;5;;9,03;10,27239416;0,936170213;0,822897626;0,579046988;14;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 1);https://doi.org/10.1126/scitranslmed.aaa9853;11;4;x;Raw data per center;infarct module fMCAO;Fig 2b;mm3;5;anti CD49d;;treated;25,8276644;;8,804006362;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;1;IgG control;;ctrl;8,042477876;;2,535132832;10;;1,24;3,066384948;0,957746479;0,3869666;0,451379639;20;2;both mentioned;1;IgG neg only;1;simple randomizazion;2;all steps were blinded;6
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;1;anti CD49d;;treated;6,803539823;;3,518314201;10;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;2;IgG control;;ctrl;10,35840708;;2,847990555;8;;2,59;2,849533296;0,949152542;0,861548306;0,507880349;17;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;2;anti CD49d;;treated;7,771878073;;2,85088251;9;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;3;IgG control;;ctrl;8,814159292;;2,374937227;7;;1,23;2,449305283;0,941176471;0,472677031;0,524694764;15;;;;;;;;;
Hunningford Paper;Multi_lab;Llovera, 2015 (model 2);https://doi.org/10.1126/scitranslmed.aaa9853;12;5;x;Raw data per center;infarct module cMCAO;Fig 2a;mm3;3;anti CD49d;;treated;7,584070796;;2,511297098;8;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Maysami, 2015;https://doi.org/10.1177%2F0271678X15606714;13;6;x;Means Forest Plot;infarct lesion MRI Filament day 1;Fig 2;mm3;Manchester 2012;vehicle;;ctrl;3,78;;0,11;15;;0,22;0,120046287;0,971962617;1,781244388;0,439089092;29;2;inclusion implicity mentioned, exclusion criteria is a paragraph;1;only vehicle;1;simple randomization;1;assessmend blinded;5
Hunningford Paper;Multi_lab;Maysami, 2015;https://doi.org/10.1177%2F0271678X15606714;13;6;x;Means Forest Plot;infarct lesion MRI Filament day 1;Fig 2;mm3;Manchester 2012;IL-1a;;treated;3,56;;0,13;14;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Maysami, 2015;https://doi.org/10.1177%2F0271678X15606714;13;6;x;Means Forest Plot;infarct lesion MRI Filament day 3;Fig 2;mm3;Kuopio 2012;vehicle;;ctrl;3,04;;0,85;14;;-0,32;0,618556384;0,96969697;-0,501656823;0,391167497;27;;;;;;;;;
Hunningford Paper;Multi_lab;Maysami, 2015;https://doi.org/10.1177%2F0271678X15606714;13;6;x;Means Forest Plot;infarct lesion MRI Filament day 3;Fig 2;mm3;Kuopio 2012;IL-1a;;treated;3,36;;0,12;13;;;;;;;;;;;;;;;;
Hunningford Paper;Multi_lab;Mountney, 2016;https://doi.org/10.1089/neu.2015.4130;14;;;Single center data shown;;;;;;;;;;;;;;;;;;;;;;;;;;;
